machine_id,machine_type,temperature,vibration,current,load,operating_hours,maintenance_count,ambient_temperature,humidity,risk_score,failure
MCH-CNC-1000,CNC,52.37,1.9,19.37,49.39,2245.7,2,28.12,49.19,0.0214,0
MCH-CNC-1000,CNC,58.01,2.161,20.01,58.76,2311.4,2,25.22,52.31,0.223,0
MCH-CNC-1000,CNC,55.53,1.675,18.14,61.83,2384.3,2,38.07,77.52,0.0736,0
MCH-CNC-1000,CNC,54.14,1.561,17.11,62.52,2442.1,2,32.82,46.25,0.0593,0
MCH-CNC-1000,CNC,48.56,1.951,16.41,55.76,2491.2,2,24.49,53.87,0.0,0
MCH-CNC-1000,CNC,50.6,2.639,16.07,51.23,2553.3,3,35.35,89.86,0.3272,0
MCH-CNC-1000,CNC,53.9,2.102,20.59,52.11,2595.9,3,27.02,64.33,0.1217,0
MCH-CNC-1000,CNC,53.87,1.96,15.94,58.09,2669.0,3,26.93,57.79,0.0044,0
MCH-CNC-1000,CNC,56.41,2.304,18.23,62.81,2734.3,3,28.21,55.0,0.2544,0
MCH-CNC-1000,CNC,55.95,1.971,21.14,72.59,2804.6,3,29.54,45.84,0.1686,0
MCH-CNC-1000,CNC,55.78,1.666,19.79,62.1,2858.8,3,29.92,34.06,0.1403,0
MCH-CNC-1000,CNC,56.36,1.667,17.29,62.11,2937.6,3,28.21,51.49,0.1021,0
MCH-CNC-1000,CNC,54.24,2.046,20.21,39.47,3013.3,3,27.05,57.12,0.1201,0
MCH-CNC-1000,CNC,53.88,1.473,18.49,73.82,3084.5,3,21.86,65.37,0.0869,0
MCH-CNC-1000,CNC,54.82,1.684,17.5,70.4,3132.2,3,30.33,75.79,0.1567,0
MCH-CNC-1000,CNC,56.32,2.523,18.66,66.62,3190.9,3,26.81,55.8,0.3008,0
MCH-CNC-1000,CNC,57.97,1.647,19.17,58.47,3232.7,3,32.68,64.01,0.1702,0
MCH-CNC-1000,CNC,57.19,1.528,17.9,50.62,3278.8,3,25.93,73.13,0.0762,0
MCH-CNC-1000,CNC,52.9,1.696,18.05,50.27,3346.2,4,25.32,58.74,0.0216,0
MCH-CNC-1000,CNC,56.83,1.313,18.46,60.58,3415.9,4,29.66,74.39,0.1411,0
MCH-CNC-1000,CNC,53.23,2.177,15.63,71.81,3494.6,4,29.47,65.16,0.1266,0
